Text,Boolean Questions
,
RT @ProSyn: Reaching enough people to stop #COVID19 from circulating could in turn help to expand the reach of routine immunization program…,"['Is there such a thing as covid19?', 'Is there such a thing as covid19?', 'Is there such a thing as covid?']"
,
I have tested positive for #COVID19 and here’s my experience of getting infected after 2 doses of the vaccine. https://t.co/Wmz2MVqXtF,"['Is there a vaccine for covid19?', 'Is there such a thing as covid19?', 'Has anyone ever been infected with covid19?']"
,
62/ The horizontal red line represents median neutralizing antibody titers in each group.  https://t.co/nkBp66XMoL https://t.co/C1FHOMClxz,"['Is the horizontal red line the median neutralizing antibody titer?', 'Is the median neutralizing antibody titer true or false?', 'Is the median titer of neutralizing antibody true or false?']"
,
"#Remedisivir DOES NOT save lives, it is not an essential drug in COVID-19 treatment. It is advisable in mild to moderate cases but is not a life-saving drug in case of critical-hospitalised patients.  Do not panic or feel guilty if you’re not able to buy it. Guidelines by @who https://t.co/oFQxNxyl2F","['Is remedisivir a life saving drug?', 'Is remedisivir the only drug that saves lives?', 'Is remedisivir the only drug that can save lives?']"
,
RT @Hoybraten: EU at it’s worst: Most COVAX Vaccine Recipients Excluded From New EU COVID 'Green Pass' - despite vaccines being financed in…,"['Is there a green pass for covax vaccine?', 'Is the covax vaccine funded by the eu?', 'Is there a covax vaccine in the eu?']"
,
And new viral strains (emerging in India and elsewhere) might turn this whole thing tipsy turbo again. Answer: get vaccinated. Even the “old” vaccines likely protect somewhat against the new strains (T cell immunity; cross reactivity etc),"['Do you have to get a t cell vaccine?', 'Is it possible to get t cell immunity?', 'Do you have to get t cell immunity?']"
,
"Electrolytes are important &amp; must be preferred over simple juices &amp; coconut water. Join us today at 7:00 PM on MEDtalks with Dr K K Aggarwal as he talks about dehydration and role of calcium, magnesium, taurine, sodium and potassium in patient recovery.  https://t.co/yGKyu4uWQS https://t.co/ONbqTJO7sb","['Is there such a thing as dehydration?', 'Is there a difference between water and electrolytes?', 'Is there such a thing as electrolytes in water?']"
,
"Grateful to the Republic of Korea for pledging US$ 200 million to the @Gavi #COVAX AMC! Thank you President @moonriver365, @MOFAkr_eng for supporting a global solution to the pandemic: https://t.co/6CmniGVvvj","['Is there a pandemic in korea?', 'Is korea part of the pandemic response?', 'Is there still a pandemic in korea?']"
,
Trump Admin Surgeon General Calls for CDC to ‘Urgently’ Revise Guidance as Delta Variant Spreads: ‘People Might Need to Vax It and Mask It’ https://t.co/VAg3vhIht4,"['Is vax it and mask it the same thing?', 'Is there a difference between delta and delta strain?', 'Is there a difference between delta and delta variant?']"
,
The Pfizer vaccine is highly effective against the Delta variant  BUT  you need BOTH doses: https://t.co/QaTxZPCxpF,"['Is the delta vaccine true or false?', 'Is the pfizer delta vaccine true or false?', 'Do you need two doses of the pfizer vaccine?']"
,
@Sinha_Sahab It’s normal. If any other severe symptoms arrive then consult a doctor,"['Do you have to go to the doctor for treatment?', 'Is it normal to have a headache?', 'Is it normal to have a fever?']"
,
"1/n lots of people have been asking about where to donate for Covid in India. I haven’t vetted any organization. But I’ll post some resources: 1. CDDEP is working on providing medical oxygen. It's easy to donate on this link, especially if you live abroad.https://t.co/Bz0EkAcBeA","['Is there such a thing as covid in india?', 'Is there a fund for covid in india?', 'Is there a way to donate oxygen in india?']"
,
@PSampathkumarMD @the_hindu @paimadhu @MayoClinicINFD @GargiRawat @ICMRDELHI Priya: please repost your very thoughtful guidelines to the care for COVID patients. It is now available in multiple Indian languages.,"['Is the hindu and pampathkumar the same?', 'Is the hindu and pampathkumar the same thing?', 'Is the hindu the same as pampathkumar?']"
,
"If this is not an emergency, then what is? #coronavirus #wakeup  This pandemic is far from over and the worsening conditions in India require stronger efforts before they lead to a chain of catastrophic events. https://t.co/AutguJwOcw","['Is there a pandemic of coronavirus?', 'Is there such a thing as coronavirus?', 'Is there an epidemic of coronavirus in india?']"
,
Data suggests 4 in 5 people in low- and middle-income countries are willing to get vaccinated against #COVID19. Let’s make the most of these high levels of acceptance by prioritizing LMICs to boost global immunity while working to increase demand: https://t.co/dMuzWjYV43,"['Is it possible to get vaccinated against covid?', 'Is it true that people in low income countries get covid?', 'Is it possible to get vaccinated against covid19?']"
,
"A lovely poem by @tweetsbynidhi to commemorate all those on the front lines. Thank you. Let's make 2021 ""the year of the nurses"". Let's appreciate those who put their lives in danger for your mother, your sister, your father, your friend... https://t.co/dfYiZW0f7k","['Is 2021 the year of the nurses?', 'Is this the year of the nurses?', 'Is 2018 the year of the nurses?']"
,
"13/n If oxygen saturation falls below that, go to hospital in  an ambulance that has a working oxygen tank. Prone position. Fluids. Oxygen. Dexamethasone. Remdesivir and Toci only under medical supervision (does not reduce deaths in severe Covid).","['Is toci and remdesivir the same thing?', 'Is remeddesivir and toci the same thing?', 'Is toci and remeddesivir the same thing?']"
,
"Choice of #COVID19 vaccine for pregnant women in India.  Experts: @AskDrShashank and Dr Rahul Pandit from COVID-19 Task Force, Maharashtra.   - Dr KK’s Heart Care Foundation of India. https://t.co/l7f66gKkT8","['Is there a vaccine for pregnant women in india?', 'Is there a vaccine for covid19 in india?', 'Is there a vaccine for covid19 in india?']"
,
“Whether or not J&amp;J vaccine is a candidate for boosters is a discussion for the fall” says Johns Hopkins expert. Why not discuss it now when #DeltaVariant is rising?    https://t.co/DO1y6VPaHK,"['Is the j&j vaccine a good idea?', 'Is the j&j vaccine the same as boosters?', 'Is it possible to get the j&j vaccine?']"
,
1/3 GET VACCINATED. This Lancet study has some caveats (retrospective) but neurological and psychiatric diseases post Covid are now documented in multiple studies. There is strong evidence for long term effects— this is not “just the flu”   https://t.co/rLjQdcxhqw,"['Is there such a thing as covid flu?', 'Is covid the same as the flu?', 'Is there a link between covid and flu?']"
,
2) cases rising the most in 20-29 year olds… followed by 10-19 year olds. Then 30-39 year olds. It’s a lot of young people who are unvaccinated + careless. https://t.co/fba3FP7I9S,"['Is there such a thing as being unvaccinated?', 'Is it possible to get vaccinated?', 'Is it possible to be vaccinated against polio?']"
,
#COVID19Ontario:   Daily new cases vs. test % positivity in #Ontario  Line = 7 day moving average. #COVIDー19 #onhealth https://t.co/BFYeivvZ16,"['Is there a 5 day moving average in ontario?', 'Is the ontario line the same as the moving average?', 'Is there a false positive for covid19 ontario?']"
,
"Will a diabetic women transfer the same condition to her baby? Is it avoidable? Let’s find out in the #HCFIFAQ series with @SanjayKalraDr1  - To honour Dr KK's selfless service to the community, HCFI Dr KK Research Fund &amp; MedTalks will continue to bring you healthcare information https://t.co/Xcs78IaKU1","['Is there such thing as a diabetic baby?', 'Will a diabetic woman transfer the same condition to her baby?', 'Is it possible for a diabetic woman to have diabetes?']"
,
"Ontario: Daily new #COVID19 cases, deaths, resolved with 7 day averages from Feb 1, 2021. #COVID19Ontario     7 day average: 155  Total active cases: 1443 https://t.co/KXWBmr4cLF","['Is there a cure for covid19 in ontario?', 'Is there a cure for covid in ontario?', 'Is there a cure for covid19 in ontario?']"
,
California now ranks 50th out of 50 states in percentage of Covid-19 vaccine shots used,"['Is the covid-19 vaccine true or false?', 'Does california have the covid-19 vaccine?', 'Does california have a covid-19 vaccine?']"
,
1/n It might be an interesting idea to create a SUBGROUP of researchers to study the B1617 (Delta) SARS-Cov2 variant that dominated the Indian wave of the pandemic and caused such enormous lethality,"['Is there such a thing as sars cov2?', 'Is there a difference between sars cov2 and b1617?', 'Is sars cov2 the same as b1617?']"
,
"Good news: Most kids who get Covid will have mild or no symptoms, and there’s no evidence that Covid caused by the Delta variant causes more severe illness among kids. 3/","['Is covid and delta the same thing?', 'Is covid the same as delta?', 'Does covid cause severe illness in kids?']"
,
"This is a perfect study for a global alliance (including WHO) to launch. We really, really need to establish whether the two vaccines in India (Covaxin and Covishield/AZ) are effective. Do they protect against severe disease? It would take a month to do the study..","['Is ovaxin and covishield the same thing?', 'Is covishield the same as vavaxin?', 'Is covishield and ovaxin the same thing?']"
,
COVID-19 has made people more aware of their underlying TB. People have been more cautious of every sneez and cough and we are hopeful it will bring early diagnosis and treatment into light.  #TBHaregaDeshJeetega #WorldTuberclosisDay https://t.co/GkFld2fAn7,"['Is there a cure for tuberculosis?', 'Is there a cure for tb in the united states?', 'Is there a cure for tb?']"
,
143/ Is COVID vaccination a treatment for long COVID?     Possibly.,"['Is there such a thing as covid vaccination?', 'Is it possible to get covid vaccination?', 'Is there such a thing as covid vaccination?']"
,
The rules will be different in every state. I don't know the answer to your son's status- but I would discuss with his doctor. https://t.co/7AOjoxUXgn,"['Do you have to have a doctor for your son?', 'Is there a difference between nevada and florida?', 'Is there a difference between state and country?']"
,
"RT @AlexMMTri: Nothing is a 100%, there are a very small number of mild or a symptomatic COVID infections in people who are fully vaccinate…","['Is there such thing as a 100% cure for covid?', 'Do you have to be vaccinated against covid?', 'Is it possible to get a covid infection?']"
,
"RT @alvie_barr: Wow! In New York City Alone the #COVID19 Vaccination Campaign has Prevented an Estimated:  👉 250,000 cases; 44,000 hospital…","['Is there a vaccine for covid in new york city?', 'Is there a vaccine for covid in new york?', 'Is there a vaccine for covid in new york?']"
,
"5) “However, other VOC, such as Beta or Gamma, harbor mutations conferring potential escape from humoral response induced either by prior infection or vaccination, as proven by both decreased seroneutralization in vitro (5–7) and in vivo by observational studies”","['Is beta and gamma the same thing?', 'Is beta oc and gamma the same thing?', 'Is beta and gamma voc the same thing?']"
,
10) with stories like this… it’s clear we need masking and other NPI mitigation in addition to vaccines in the interim. https://t.co/nHUAQOS5Nb,"['Is there a vaccine for npi?', 'Is it possible to get the npi vaccine?', 'Is there such a thing as an npi?']"
,
Great to see Vietnam kickstarting today’s pledges to the @Gavi #COVAX AMC! Thank you Health Minister Nguyễn Thành Long for setting an important example with your generous donation. #OneWorldProtected https://t.co/7cmZM6PpFJ,"['Is the covax a mc in vietnam true or false?', 'Is it true that vietnam is part of the acmc?', 'Is there a difference between true and false?']"
,
Covid &amp; Inflammation https://t.co/mDkMKBZfNl,"['Is covid andamp; inflammation the same thing?', 'Is covid andamp; inflammation the same thing?', 'Is there such a thing as covid and inflammation?']"
,
“This is basically #COVID19 on steroids” - informative @washingtonpost deep dive into how the Delta #COVID19 variant is “changing the rules of the game” as we fight to end this pandemic: https://t.co/C0h3sEIf2k,"['Is there such a thing as covid19?', 'Is there a difference between covid19 and delta?', 'Is there such a thing as covid19?']"
,
@sweetiaish84 You can but you’d have to consult with a doctor if any pre medication is required. You can seek guidance from our doctors at the OPD via Zoom between 3-7 pm any day. (Zoom ID 84290921517),"['Can you take prednisone at the opd?', 'Is there a doctor at the opd?', 'Can you take prednisone at opd?']"
,
"The vaccines are very, very effective, but they are not perfectly effective. SARS-CoV-2 infections are expected. A minority of breakthrough infections will be symptomatic COVID-19. A smaller minority of those will be severe. And an even smaller minority of those will be fatal.","['Is there a vaccine for sars-cov-2?', 'Is there a cure for sars-cov-2?', 'Is there a vaccine for sars cov-2?']"
,
Variants of concern (VOC) in Ontario  Source: https://t.co/MZTQHhaZiP https://t.co/jBIc47wR2O,"['Is there a variation of concern in ontario?', 'Is there a variable of concern in ontario?', 'Is it possible to have a voc in ontario?']"
,
#G7 leaders’ commitments to share  870 million additional #COVID19 vaccines is a critical milestone as we work towards our goal of leaving no-one behind. This is exactly the kind of global solidarity the world needs to end this crisis: https://t.co/z8a4L0wuEM,"['Is there a vaccine for covid19 in the world?', 'Is there a vaccine for covid in the world?', 'Is there such a thing as no one left behind?']"
,
"We need better data on severe breakthrough infections, but my guess is that they’re more likely to occur in people of advanced age or with serious underlying conditions. It’s possible that the mRNA vaccines are more protective than other vaccines. 12/","['Is the mrna vaccine more protective than other vaccines?', 'Is the mrna vaccine more protective than other vaccines?', 'Is the mrna vaccine more protective against serious infections?']"
,
